,stop_id1,stop_id2,distance,latitude1,longitude1,latitude2,longitude2
875,Parent8502229,8591438,17.32204703313501,47.38097,8.430339,47.35918,8.585244
876,Parent8503000,8503500,0.6961046364829232,47.378178,8.540212,47.376858,8.546401
877,Parent8503001,8503000:0:12,5.792497690091704,47.391483,8.488963,47.378178,8.540212
878,Parent8503003,8503000:0:8,1.2682788204603275,47.36661,8.548485,47.378178,8.540212
879,Parent8503006,8591218,3.7770790114086408,47.41153,8.544137,47.374424,8.5213375
880,Parent8503011,8591440,5.016405727675016,47.37148,8.523485,47.35185,8.566541
881,Parent8503015,8591170,2.9967483296913584,47.39304,8.529378,47.371735,8.506651
882,Parent8503015,8591182,3.4902330511517117,47.39304,8.529378,47.356644,8.51001
883,Parent8503051,8576220,9.06207914138201,47.362766,8.518292,47.31577,8.593204
884,Parent8503054,8503000:0:41/42,5.088990985042683,47.364994,8.495377,47.378178,8.540212
885,Parent8503057,8591432,12.164286853668667,47.352074,8.487553,47.355213,8.596806
886,Parent8503088,8591062,2.6865614498776287,47.37739,8.539358,47.412407,8.543931
887,Parent8503088,8591147,7.167870711372988,47.37739,8.539358,47.361343,8.602824
888,Parent8503088,8591435,6.223753102523874,47.37739,8.539358,47.403767,8.486376
889,Parent8503091,8503016:0,7.991835336589806,47.362614,8.522012,47.450386,8.5624
890,Parent8503091,8503128P,11.636641805259044,47.362614,8.522012,47.40008,8.623423
891,Parent8503091,8591314,3.9766688794181912,47.362614,8.522012,47.408825,8.539277
892,Parent8503093,8590541,12.341954784618679,47.337933,8.519631,47.416584,8.616892
893,Parent8503094,8576159,14.797362883669898,47.333046,8.518562,47.442944,8.628767
894,Parent8503094,8591330,7.657941194975269,47.333046,8.518562,47.41081,8.562867
895,Parent8503100,8503010,4.778881633894399,47.337337,8.569739,47.364098,8.530824
896,Parent8503102,8590755,18.084271024020357,47.305794,8.591523,47.43984,8.456722
897,Parent8503128,8590882,2.3100381159977004,47.40008,8.623423,47.41262,8.604486
898,Parent8503147,8591162,2.754949286783947,47.397213,8.596141,47.360977,8.599302
899,Parent8503200,8503010,3.550965525263498,47.32443,8.5480175,47.364098,8.530824
900,Parent8503200,8576211,4.660767165359489,47.32443,8.5480175,47.321945,8.589852
901,Parent8503200,8590896,9.410011242989231,47.32443,8.5480175,47.423668,8.599375
902,Parent8503306,8591146,14.000188533075889,47.4202,8.619272,47.358707,8.500605
903,Parent8503308,8503100:0:2,8.539157786988143,47.44861,8.583807,47.337337,8.569739
904,Parent8503308,8580434,0.5205473967637461,47.44861,8.583807,47.45211,8.58784
905,Parent8503310,8591824,6.822295594099627,47.43083,8.558851,47.362965,8.518319
906,Parent8503512,8591186,9.933646468368238,47.39888,8.420439,47.38483,8.509166
907,Parent8573726,8590547,17.53498225978659,47.326298,8.468499,47.38791,8.620395
908,Parent8573726,8590712,21.495864022720305,47.326298,8.468499,47.351902,8.660819
909,Parent8576215,8590725,15.78389716760427,47.329025,8.606085,47.405525,8.474087
910,Parent8576215,8590773,6.105687223325757,47.329025,8.606085,47.31042,8.552707
911,Parent8583870,8591211,15.712905813484175,47.357174,8.437013,47.38463,8.576935
912,Parent8583870,8591259,9.066886306428707,47.357174,8.437013,47.375416,8.51752
913,Parent8587651,8573711,12.429440840017103,47.40921,8.595548,47.367756,8.48748
914,Parent8590464,8576160,15.232537456954017,47.311783,8.524311,47.443584,8.62813
915,Parent8590464,8576198,4.818620125728613,47.311783,8.524311,47.357994,8.554207
916,Parent8590464,8591328,9.275256691865332,47.311783,8.524311,47.413452,8.477311
