,allstops.stop_id,allstops.stop_name,allstops.latitude,allstops.longitude,allstops.location_type,allstops.parent_station,center_dist
28393,8576296,"Wasterkingen, Gemeindehaus",47.590065,8.469361,,,24.18401465539553
28394,8576297,"Seuzach, Bahnhof",47.53563,8.738865,,,23.054277587465464
28395,8576298,"Dinhard, Bahnhof/Welsikon",47.55365,8.752457,,,25.250375876045343
28396,8576301,"Thalheim-Altikon, Bahnhof",47.5696,8.75764,,,26.88410263741758
28397,8576302,"Altikon, Brückenwaage",47.57347,8.780861,,,28.315156728516364
28398,8576303,Thalheim an der Thur,47.579296,8.7538395,,,27.579166275332273
28399,8576304,Gütighausen,47.58743,8.734373,,,27.511147708396138
28586,8576480,"Zufikon, Schulanlage",47.347477,8.358375,,,14.125144036263277
28602,8576496,"Zufikon, Volg",47.34537,8.35709,,,14.277338123584059
28604,8576498,"Zufikon, Haldenstrasse",47.343315,8.356974,,,14.345977546334188
28800,8576699,"Wettswil a.A., Schürli",47.332916,8.477886,,,6.887993631538528
28839,8576743,"Wettswil a.A., Beerimoos",47.32957,8.480079,,,7.057697034436389
28841,8576746,"Winterthur, Waser",47.486416,8.756122,,,20.25141773208541
28845,8576750,"Freienstein, Friedhof Federen",47.54161,8.572299,,,18.353547236871105
28856,8576763,"Bad Zurzach, Tierpark",47.580807,8.28297,,,29.744883271555118
28876,8576788,"Uster, Burgreben",47.343887,8.71709,,,13.870273914568909
29011,8576933,"Ettenhausen TG, Elggerstrasse",47.478104,8.898963,,,29.242753834068175
29032,8576957,"Tänikon, Forschungsanstalt",47.480072,8.9053135,,,29.76881441241586
29033,8576958,"Aadorf, Matthofstrasse",47.48514,8.9046135,,,29.939895781978812
29148,8577069,"Hitzkirch, Bahnhof",47.222515,8.252346,,,27.768163915804546
29149,8577070,"Hitzkirch, Dorf",47.22482,8.262803,,,26.993673412126952
29150,8577071,"Hämikon, Schulhaus",47.23724,8.275011,,,25.41114906553065
